molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL344089,CCCCC#CCSc1ccccc1OC(=O)CN,IC50,40000.0,nM
CHEMBL144840,CCC(=O)Oc1ccccc1SC,IC50,1000000.0,nM
CHEMBL145626,CC(=O)Oc1ccccc1SCCCOc1ccccc1,IC50,1000000.0,nM
CHEMBL145412,CCCC#CCCSc1ccccc1OC(C)=O,IC50,6500.0,nM
CHEMBL417452,C[C@@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,100000.0,nM
CHEMBL356093,CC(=O)Oc1ccccc1SC1CCCCC1,IC50,40000.0,nM
CHEMBL92485,CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,IC50,96.0,nM
CHEMBL285975,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Cl)cc1,IC50,650.0,nM
CHEMBL145646,CCCCCCCOc1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL145071,CC(=O)Oc1ccccc1SCCCCCC(=O)O,IC50,50000.0,nM
CHEMBL144232,CC#CCSc1ccccc1OC(C)=O,IC50,20000.0,nM
CHEMBL282177,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc([N+](=O)[O-])cc1,IC50,20000.0,nM
CHEMBL145727,CCC#CCSc1ccccc1OC(C)=O,IC50,5000.0,nM
CHEMBL90988,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,IC50,12.0,nM
CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,IC50,230.0,nM
CHEMBL146005,CC(=O)OCCCCCSc1ccccc1OC(C)=O,IC50,50000.0,nM
CHEMBL143113,C#CCSc1ccccc1OC(C)=O,IC50,25000.0,nM
CHEMBL18883,C[C@@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,100000.0,nM
CHEMBL145247,CCCCOCCSc1ccccc1OC(C)=O,IC50,7000.0,nM
CHEMBL144515,CCCCC#CC(C)Sc1ccccc1OC(C)=O,IC50,7000.0,nM
CHEMBL143340,CCCCC#CCOc1ccccc1OC(C)=O,IC50,40000.0,nM
CHEMBL282643,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Br)cc1,IC50,3720.0,nM
CHEMBL281014,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc([N+](=O)[O-])cc1,IC50,20000.0,nM
CHEMBL31060,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(OC)cc1,IC50,780.0,nM
CHEMBL145358,CC(=O)Oc1ccccc1SCCCCCO,IC50,50000.0,nM
CHEMBL347187,COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,IC50,130.0,nM
CHEMBL154839,COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1,IC50,470.0,nM
CHEMBL110331,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,IC50,416.87,nM
CHEMBL323954,Cn1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c2ccccc21,IC50,1096.48,nM
CHEMBL421417,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,IC50,467.74,nM
CHEMBL110660,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,IC50,407.38,nM
CHEMBL274893,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,IC50,25.7,nM
CHEMBL109486,COCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,IC50,6606.93,nM
CHEMBL54649,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,20.89,nM
CHEMBL52872,CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,IC50,6.026,nM
CHEMBL29136,N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,IC50,338.84,nM
CHEMBL29472,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1,IC50,12.02,nM
CHEMBL88649,NS(=O)(=O)c1ccc(C2=C(c3ccc(OC(F)(F)F)cc3)CC3(CC3)C2)cc1,IC50,128.82,nM
CHEMBL119001,CS(=O)(=O)c1ccc(-c2cnc(CF)n2-c2ccc(F)cc2)cc1,IC50,10000.0,nM
CHEMBL324509,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,4.0,nM
CHEMBL422530,O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,IC50,340.0,nM
CHEMBL347267,O=C(NNc1ccc(Cl)cc1)c1ccccc1,IC50,530.0,nM
CHEMBL44977,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,331.13,nM
CHEMBL43089,COc1cc(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,IC50,457.09,nM
CHEMBL43553,CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,141.25,nM
CHEMBL322136,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,1819.7,nM
CHEMBL327078,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,IC50,724.44,nM
CHEMBL54945,CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1,IC50,239.88,nM
CHEMBL110612,Cc1ccncc1-c1cc(F)c(F)cc1-c1ccc(S(C)(=O)=O)cc1,IC50,169.82,nM
CHEMBL29839,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,7.943,nM
CHEMBL28881,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,4.677,nM
CHEMBL29133,Cc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(Cl)cc1,IC50,21.88,nM
CHEMBL274990,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,IC50,100.0,nM
CHEMBL119002,CS(=O)(=O)c1ccc(-c2cnc(CO)n2-c2ccc(F)cc2)cc1,IC50,10000.0,nM
CHEMBL331148,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,16.0,nM
CHEMBL333084,CC(C)Oc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,10000.0,nM
CHEMBL324700,CCS(=O)(=O)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,10000.0,nM
